Class,Accuracy,Precision,Recall,F1-Score
agriculture,0.975,0.975,0.975,0.975
commercial,0.975,1.0,0.975,0.9873
harbor,1.0,0.9302,1.0,0.9639
idle_land,0.975,0.975,0.975,0.975
industrial,0.975,1.0,0.975,0.9873
meadow,0.925,1.0,0.925,0.961
overpass,1.0,1.0,1.0,1.0
park,0.975,0.8864,0.975,0.9286
pond,0.85,0.8718,0.85,0.8608
residential,1.0,0.9756,1.0,0.9877
river,0.9,0.9474,0.9,0.9231
water,1.0,1.0,1.0,1.0
